Nom	,Date de Sortie,	Type,	État	,Durée,	Note Imdb,	Synopsis,0,PlaceHolder.png
Lost: Les Disparus,2004,Série,	Fini,	5 324 minutes,8.3,	Le vol 815 de la compagnie Oceanic Airlines. reliant Sydney à Los Angeles. explose en plein vol au-dessus d'une île du Pacifique non répertoriée sur les cartes. Le cockpit. l'avant. ainsi que la queue de l'appareil tombent en des endroits différents de l'île. où les survivants vont apprendre à cohabiter. Dès les premiers jours. ils se rendent compte qu'ils ne sont pas seuls sur cette terre qui est le théâtre d'évènements étranges : activité magnétique intense. ours polaires rôdant dans la jungle. apparitions de revenants. étranges fumées noires dans la jungle ou encore individus hostiles surnommés Les Autres (The Others) qui agissent sous l'influence d'un certain Jacob. leur chef mystique.,1,Image1.jpg
Le Pacte des Loups,	2001,	Film	,Fini,150 minutes	,7,	"En 1789. au moment de la Grande Peur. alors que les torches brûlent et que. sous ses fenêtres. grondent les clameurs des paysans. le marquis Thomas d'Apcher rédige ses dernières notes sur une affaire survenue dans sa jeunesse. L'histoire est celle du chevalier Grégoire de Fronsac. naturaliste arrivé en 1765 au château de Saint-Alban. accompagné de Mani. un Iroquois (plus précisément un Mohawk) qu'il a rencontré lors de la bataille de Trois-Rivières au Canada. Envoyés par Buffon (André Penvern). l'intendant du Jardin du roi. les deux hommes viennent élucider le mystère de la bête du Gévaudan qui terrorise la région depuis plus d'un an. Guidé par Thomas d'Apcher (Jérémie Renier). petit-fils du marquis de Saint-Alban. le chevalier est présenté à la noblesse locale : le comte de Morangias (Jean Yanne). son épouse (Édith Scob) et leurs deux enfants. Jean-François (Vincent Cassel) et Marianne (Émilie Dequenne); le père Sardis (Jean-François Stévenin). le duc de Moncan ainsi que l'intendant Laffont (Bernard Farcy). Fronsac. libertin. s'éprend aussitôt de la belle et douce Marianne mais rencontre également Sylvia (Monica Bellucci). une mystérieuse prostituée italienne avec laquelle il noue une relation chargée de secrets. ",2,Image2.jpg
Mentalist,	2008,	Série	,Fini,6 342 minutes,8.2	,"L’unité des crimes majeurs du California Bureau of Investigation (CBI). dirigée par Teresa Lisbon. enquête sur des crimes. avec la collaboration de Patrick Jane. consultant pour le CBI. utilisant ses facultés de mentalisme. Patrick Jane dispose d’un sens très fin de la psychologie et de son mental (lecture froide. hypnose. etc.). Il ne s agit pas d un pouvoir. car il a aussi été prestidigitateur. Sa carrière de voyant lui a également permis d acquérir des connaissances pointues en matière d analyse psychomotrice. Tous ses talents rassemblés lui permettent d être plus précisément un mentaliste. ce qui lui vaut d être également un manipulateur très efficace pour résoudre les enquêtes.",3,Image3.jpg
Training Day,2001,Film,Fini	,122 minutes	,7.8	,Jake Hoyt est une jeune recrue idéaliste de la police de Los Angeles. Pour son premier jour. rêvant de passer inspecteur. il obtient une mise à l'essai de 24 heures. un « training day ». auprès du sergent chef Alonzo Harris. une star de la lutte antidrogue. très décoré et un professionnel de la guerre de rues à bord de sa Chevrolet Monte Carlo noire.,4,Image4.jpg
Gatsby le Magnifique,2013,Film,Fini,	142 minutes	,7.2	,En décembre 1929. Nick Carraway. un vétéran de la Première Guerre mondiale. est sous traitement dans un hôpital psychiatrique. Il parle à son docteur de Jay Gatsby. l'homme avec le plus d'espoir qu'il ait jamais connu. ,5,Image5.jpg
Gatsby le Magnifique,1974,Film,Fini,	144 minutes,	6.4	,Gatsby le Magnifique (The Great Gatsby) dépeint le tableau de la haute aristocratie américaine en mal de vivre. Après la Première Guerre mondiale. dans les années 1920. les « années folles ». l'élégant et mystérieux Jay Gatsby (Robert Redford). millionnaire à la fortune douteuse. est obsédé par la belle Daisy Buchanan (Mia Farrow). un amour de jeunesse qu'il tente de reconquérir. Une superbe et tragique histoire d'amour naît.,6,Image6.jpg
Pulp Fiction,1994,Film,Fini,154 minutes	,8.9	,Dans un café-restaurant de Los Angeles. dans la matinée. un couple de jeunes braqueurs. Pumpkin (appelé Ringo par Jules) et Yolanda (Tim Roth et Amanda Plummer). discutent des risques que comporte leur activité. Ils se décident finalement à attaquer le lieu. afin de pouvoir dévaliser à la fois l'établissement et les clients. ,7,Image7.jpg
Django Unchained,2012,Film,Fini,	165 minutes	,8.5,	Au Texas. en 1858. une file d'esclaves enchaînés avance péniblement sous la garde des frères Ace et Dicky Speck. En pleine nuit. le groupe croise le docteur King Schultz. qui voyage sur sa roulotte de dentiste ambulant (avec Fritz le cheval et une grande dent factice qui gigote au bout de son ressort sur le toit). Schultz. ignorant l'hostilité manifeste des Speck. demande aux prisonniers si l'un d'entre eux connaît les dénommés « frères Brittle ». celui qui s'avérera être Django répond par l'affirmative. Mais lorsque Schultz insiste pour acquérir Django. Ace Speck le menace de son fusil. Schultz tue rapidement Ace. libère Django. et laisse les autres esclaves s'occuper de Dicky.,8	,Image8.jpg
Les 8 Salopards	,2015,	Film	,Fini,167 minutes,	7.8,"Une diligence. conduite par O.B. Jackson. avance dans la neige. Sur le chemin. la diligence rencontre un chasseur de primes. le major Marquis Warren. un ancien officier de cavalerie de l'armée de l'Union. Ce dernier emmène à Red Rock trois cadavres de criminels recherchés afin de recevoir les primes sur leurs têtes. Malheureusement. son cheval est mort de vieillesse en chemin. Il s'arrange alors avec l'occupant de la diligence : le chasseur de primes John Ruth. dit ""le Bourreau"". Ce dernier conduit lui aussi une prise à Red Rock. vivante. pour y être pendue (une tradition chez Ruth) : Daisy Domergue. Les deux chasseurs se sont déjà rencontrés il y a huit mois. Il accepte de conduire Warren à Red Rock et le prévient qu'il ne doit rien tenter pour lui voler la prime sur Daisy. Après quelques échanges au cours desquels Warren montre une deuxième fois à John Ruth une lettre écrite par Abraham Lincoln. Daisy crache sur la lettre. Warren lui donne un coup de poing. qui entraine Daisy hors de la diligence. entraînant également John Ruth. qui lui est menotté. Warren fait arrêter la diligence pour faire remonter ses compagnons de voyage. Avant de repartir. O.B. leur signale un autre homme qui avance vers eux dans la neige. Par vigilance. Ruth ordonne à Warren de mettre des menottes. au cas où lui et l'autre homme seraient complices. dans l'intention de prendre la prime de Daisy. ",9,Image9.jpg
Kill Bill Volume 1,	2003	,Film	,Fini,111 minutes,	8.2	,milieu du désert. à El Paso (Texas). alors que se déroule la répétition d'une cérémonie de mariage. des assassins surgissent et tirent impitoyablement et sans raison apparente sur toutes les personnes présentes. La Mariée. qui est enceinte. survit à ses blessures mais sombre dans le coma. Toutefois. la Mariée n'est pas une personne ordinaire. Autrefois tueuse à gages dans une organisation secrète. le Détachement International des Vipères Assassines. elle est une combattante hors pair. Sortant du coma quatre années plus tard. elle n'a plus qu'un seul but. se venger de ses anciens complices. dans lesquels elle a reconnu les assassins de Two Pines. et surtout. tuer Bill. leur chef. qui est également le père de l'enfant qu'elle portait et qu'elle croit avoir perdu à la suite de l'attaque dans la chapelle	,10,Image10.png
Kill Bill Volume 2,	2004	,Film	,Fini,137 minutes	,8	,"Bill arrive en voiture à la chapelle de Two Pines d'El Paso. à la grande surprise de la Mariée. Une conversation s'engage entre eux deux. la Mariée confirmant à Bill. qui lui reproche sa soudaine disparition. qu'elle arrête définitivement le métier de tueuse à gages. Peu après. les autres membres du Détachement International des Vipères Assassines arrivent sur les lieux et commencent le massacre.Après le générique. la Mariée explique au spectateur le contexte du film au volant de sa voiture. en route pour tuer Bill après avoir éliminé ses derniers adversaires dans le futur chapitre 9. ",11,Image11.jpg
